metric	n_AC	mean_AC	median_AC	sd_AC	n_TOL	mean_TOL	median_TOL	sd_TOL	delta_mean_TOL_minus_AC	delta_median_TOL_minus_AC	cliffs_delta_TOL_vs_AC	mannwhitney_exact_p_two_sided
Amyloidogenic_Burden	6	1129.6344190609993	1457.2728648661948	885.6604444803498	4	1779.852243378599	1836.5271336289138	328.44312454696006	650.2178243175997	379.254268762719	0.4166666666666667	0.35238095238095235
Amyloidogenic_Fraction	6	0.0199115205359845	0.02880746661610635	0.015056894937216214	4	0.029756018926149024	0.0297969111323912	0.0006336039012691886	0.009844498390164526	0.0009894445162848507	0.3333333333333333	0.47619047619047616
KDmax_weighted_Amyloidogenic_Fraction	6	0.0235369356883029	0.0341570014654949	0.01792320105468656	4	0.03512661709458373	0.03534087070804695	0.0006103005117292935	0.01158968140628083	0.001183869242552052	0.5	0.2571428571428571
