endpoint	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_AC_minus_TOL	mannwhitney_p_value
Burden	amyloidogenic_burden_log2TPM	6	5	1105.5923856311354	1402.4628186444727	1430.0416180167404	1667.4362600855538	-296.87043301333733	0.6623376623376623
Fraction	amyloidogenic_fraction_log2TPM	6	5	0.022960104905349988	0.03172114240768416	0.033030892523889174	0.03391654476452148	-0.00876103750233417	0.9307359307359306
KDmax-weighted Fraction	kdmax_weighted_amyloidogenic_fraction_log2TPM	6	5	0.02643729682522659	0.03794197169757844	0.038145311949717334	0.03914066966941645	-0.011504674872351846	0.9307359307359306
