analysis_set	signature	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	direction	cohens_d_TOL_vs_AC	hedges_g_TOL_vs_AC	welch_p_value	mannwhitney_p_value	bootstrap_delta_mean_ci_low	bootstrap_delta_mean_ci_high	bootstrap_hedges_g_ci_low	bootstrap_hedges_g_ci_high	signature_size	genes_detected
TOL_vs_AC	Amyloid_score	6	4	-0.091245376	0.115223035	-0.21869871	0.34928253	0.2064684	TOL>AC	0.3632195571935303	0.3280692774651241	0.6204429	0.60952383	-0.522442981787026	0.8319113083494202	-0.86332361293133	2.881014298658378	23	23
TOL_vs_AC	UPR_score	6	4	-0.0154215945	0.051552925	-0.011936255	0.2947651	0.06697452	TOL>AC	0.11356337264294951	0.1025733688387931	0.87027895	0.9142857	-0.6552651945191126	0.6934307407277327	-1.1494759469367832	1.7678674897652025	36	36
TOL_vs_AC	Inflammatory_score	6	4	-0.032510266	0.054924466	-0.057442054	0.29718453	0.08743473	TOL>AC	0.17609923086354884	0.15905736981223767	0.8305178	0.47619048	-0.6323158002148073	0.6311640062679847	-1.2235291558444465	3.49944719894684	27	27
TOL_vs_AC	IFNG_score	6	4	-0.18653692	0.10717339	-0.24181786	-0.14036278	0.29371032	TOL>AC	0.4622395288634042	0.41750667123146185	0.53601843	0.47619048	-0.40470093823969366	1.1004377224793034	-0.9550390867777481	1.8390561789323492	4	4
TOL_vs_AC	IFNA_score	6	4	-0.12595563	0.21769118	-0.14070068	0.2944267	0.34364682	TOL>AC	0.6448072990843657	0.5824065927213626	0.38245854	0.35238096	-0.30781599755088485	0.9468096837401389	-0.6109693563447793	2.372788682908029	7	7
TOL_vs_AC	Myeloid_score	6	4	-0.009875317	0.001330547	-0.14584097	0.16182543	0.011205864	TOL>AC	0.018756864760280476	0.01694168429960817	0.9759994	0.9142857	-0.644119760642449	0.6025940821195642	-1.1059674052567166	1.6480548330551377	6	6
