analysis_set	n_samples	n_AC	n_TOL	n_panel_genes	n_fixed_panel_replicated_expected_direction	fixed_panel_directional_replication_score	fixed_panel_binomial_greater_p_ties_as_not_replicated	fixed_panel_score_ci95_low	fixed_panel_score_ci95_high	n_informative_genes	n_replicated_expected_direction	directional_replication_score	binomial_sign_test_greater_p	directional_replication_score_ci95_low	directional_replication_score_ci95_high	excluded_samples_qc
all_BC_samples	11	6	5	10	4	0.4	0.828125	0.1500282408066796	1.0	4	4	1.0	0.0625	0.472870804501588	1.0	SRR32060276
coverage_QC_protein_coding_annotation_fraction_ge_0_5	10	6	4	10	6	0.6	0.376953125	0.3035372125640421	1.0	6	6	1.0	0.015625	0.6069622310029174	1.0	
