analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	bootstrap_delta_mean_TOL_minus_AC_median	bootstrap_delta_mean_TOL_minus_AC_ci95_low	bootstrap_delta_mean_TOL_minus_AC_ci95_high	empirical_permutation_p_one_sided_TOL_gt_AC	empirical_permutation_p_two_sided	mannwhitney_p_two_sided	welch_t_p_two_sided	cliffs_delta_TOL_vs_AC	direction_supports_hypothesis
all_BC_samples	rank_based_strict_amyloid_burden_score	6	5	0.6182731357379914	0.9141203083530576	0.9174870210630208	0.9118017738377554	0.2958471726150662	0.29503425657312676	-0.016676399765994034	0.6120532770112924	0.2510822510822511	0.4329004329004329	0.9270990616387901	0.19079068502764016	-0.06666666666666667	True
coverage_qc_protein_annotation_fraction_ge_0.5	rank_based_strict_amyloid_burden_score	6	4	0.6182731357379914	0.914699941981883	0.9174870210630208	0.9111155180847388	0.2964268062438916	0.29562781361683976	-0.01671813908262849	0.6132587743428645	0.29523809523809524	0.42857142857142855	1.0	0.19008730296633897	0.0	True
sensitivity_strict_label_positive_samples	mean_rank_percentile_strict_amyloid	4	5	0.927409703606987	0.9141203083530576	0.924402936947345	0.9118017738377554	-0.01328939525392947	-0.013096131221418283	-0.028364185193344826	0.000876993713477936	0.9206349206349206	0.15079365079365079	0.19047619047619047	0.1802578251420469	-0.6	False
sensitivity_strict_label_positive_coverage_qc	mean_rank_percentile_strict_amyloid	4	4	0.927409703606987	0.914699941981883	0.924402936947345	0.9111155180847388	-0.012709761625104066	-0.012583295670122008	-0.02863731528685698	0.002410137208099572	0.8857142857142857	0.2571428571428571	0.34285714285714286	0.2201139658782944	-0.5	False
