amyloid_transcript	amyloid_gene_name	n_samples	mean_amyloid_TPM_AC	mean_amyloid_TPM_TOL	mean_paired_shift_AC	mean_paired_shift_TOL	mean_amyloid_index	delta_paired_shift_TOL_minus_AC	delta_amyloid_TPM_TOL_minus_AC
ENST00000507606	STMP1	3	122.82730102539062	70.29640197753906	2.9498394805494357	4.391228624465251	-0.18502876789439007	1.4413891439158153	-52.53089904785156
ENST00000367023	TRAF3IP3	2	51.30609893798828	70.6343002319336	3.43054182886786	4.774036410129392	-0.18049303075085749	1.3434945812615324	19.328201293945312
ENST00000549017	MYL6	5	391.83924865722656	92.58409881591797	1.732652165786532	3.0357118031242045	-0.6855729224196472	1.3030596373376726	-299.2551498413086
ENST00000520491	CLU	2	174.70799255371094	166.3780059814453	1.5764141375428222	2.8680785651333807	0.4531265550087904	1.2916644275905584	-8.329986572265625
ENST00000487271	TRAF3IP3	3	185.4429931640625	86.82184982299805	2.769206236464867	4.028538180783381	-0.7965574979149453	1.2593319443185145	-98.62114334106445
ENST00000374213	CD52	9	430.9257392883301	236.78980102539063	1.5699594058343393	2.7274075962404822	1.123091402246514	1.1574481904061429	-194.13593826293945
ENST00000590432	AP2B1	4	132.50185012817383	68.11089706420898	2.770204374018544	3.8198105276057857	-0.12469829712392415	1.0496061535872419	-64.39095306396484
ENST00000553081	PPP1R12A	5	156.17830403645834	111.65359878540039	2.363090288417668	3.352951184798691	-0.9482145600890479	0.9898608963810229	-44.52470525105795
ENST00000331334	GLRX5	8	290.935001373291	157.59720039367676	2.035041357911628	3.0204778154123666	0.45353710990641255	0.9854364575007386	-133.33780097961426
ENST00000302312	AHSP	6	314.3842582702637	109.73029708862305	2.4083146105103577	3.3225632083339676	-0.3389036148648012	0.9142485978236099	-204.65396118164062
ENST00000311672	UQCRH	5	131.3271026611328	53.96533330281576	3.335510909159349	4.243958552596096	-1.860994508730159	0.9084476434367472	-77.36176935831705
ENST00000519744	ZNF706	5	179.09500122070312	101.49035263061523	2.4626711759731723	3.362985327654383	-1.7030127002082138	0.9003141516812105	-77.60464859008789
ENST00000243924	PI3	4	208.06400299072266	137.41449737548828	2.039013385902104	2.9315379712986918	0.5472073577954545	0.892524585396588	-70.64950561523438
ENST00000560258	OAZ2	7	125.55376434326172	92.94997596740723	2.9116388771219945	3.7643456631690304	-0.2772489275680591	0.8527067860470359	-32.60378837585449
ENST00000374515	TXN	6	190.71826680501303	79.75380071004231	2.8088862977329434	3.6300104278674694	-0.01765466916601439	0.821124130134526	-110.96446609497072
ENST00000634739	PPP1R12A	6	278.5358352661133	198.70269521077475	1.8340530700482789	2.6507899541662887	-0.976435289785066	0.8167368841180098	-79.83314005533853
ENST00000422948	BAG6	3	61.549198150634766	67.96210098266602	2.8667659983922973	3.6774348755982995	-0.5043930178013879	0.8106688772060022	6.41290283203125
ENST00000296370	S100P	7	362.7069969177246	161.54100036621094	1.9406685333525764	2.678939336474085	0.08277181871232371	0.7382708031215088	-201.16599655151367
ENST00000345009	SNCA	7	284.7762031555176	112.05920155843098	2.2995260570346248	3.0116269306896606	-0.05989663341759688	0.7121008736550358	-172.7170015970866
ENST00000270142	SOD1	2	86.59040069580078	92.98799896240234	2.823857322855774	3.52844215094722	0.005264993095212012	0.7045848280914462	6.3975982666015625
ENST00000483426	UXS1	4	53.18819999694824	74.99860000610352	3.6298067576524624	4.32295520326821	0.5762342445013711	0.6931484456157473	21.810400009155273
ENST00000261267	LYZ	7	1345.853744506836	1919.7699788411458	0.9761702637909142	1.6681998997249738	0.3601092889406981	0.6920296359340596	573.9162343343098
ENST00000361871	MSRB1	8	277.2261219024658	194.77532768249512	1.9880433371224742	2.667292221903147	-0.5170074515944056	0.679248884780673	-82.4507942199707
ENST00000591899	UQCR11	8	262.9489936828613	189.7706241607666	1.9213845278546196	2.595982049670468	0.1517791093580852	0.6745975218158484	-73.17836952209473
ENST00000598034	GMFG	5	128.2949981689453	69.63027477264404	3.477785852668021	4.137836639852187	0.1343437487378464	0.6600507871841663	-58.66472339630127
ENST00000440108	RBM33	5	129.1442527770996	128.21069971720377	2.493112345569123	3.1220420977438827	-1.0919387302228176	0.6289297521747597	-0.9335530598958428
ENST00000562385	TNFRSF17	3	112.52300262451172	59.31705093383789	3.696769948256798	4.289219971825991	0.7399176696996038	0.5924500235691932	-53.20595169067383
ENST00000548580	MYL6	4	100.94490051269531	87.70474815368652	3.051520029014029	3.6312378404510968	-0.8578530789635558	0.5797178114370678	-13.240152359008789
ENST00000261811	CYSTM1	6	129.21547508239746	69.02005195617676	3.0505844356089087	3.6146550846709187	-0.8954898267591348	0.56407064906201	-60.1954231262207
ENST00000572793	SRGAP2	7	129.79876836140951	96.51460075378418	2.7829778191919856	3.3460502012267015	0.22668274341917324	0.5630723820347159	-33.284167607625335
ENST00000557852	AKAP13	2	263.6159973144531	230.31100463867188	1.9224691378133585	2.4652491546057798	-1.1608895467502771	0.5427800167924213	-33.30499267578125
ENST00000399696	POLR1D	4	101.58109855651855	61.32940101623535	3.5194361108260366	4.0528161106736	-0.023231251436083955	0.5333799998475635	-40.2516975402832
ENST00000264474	CSTA	6	195.58633422851562	136.99290211995444	2.6037727663334036	3.1215395797868233	-0.29726605460184075	0.5177668134534197	-58.59343210856119
ENST00000368733	S100A8	9	7416.8924560546875	4703.652001953125	2.512736623076874	3.027743495905309	0.831340824308668	0.5150068728284349	-2713.240454101562
ENST00000490507	WDFY4	5	98.66619873046875	87.01153310139973	3.226050677655394	3.7316605170653623	-0.9368360333075257	0.5056098394099684	-11.654665629069015
ENST00000541064	NPC2	8	147.42229843139648	167.67159748077393	2.405491653994084	2.9095157046620823	0.3768063023567344	0.5040240506679985	20.24929904937744
ENST00000394846	ZNF267	6	123.71073150634766	79.55646514892578	3.60204649663058	4.103986512313072	0.0506767985523078	0.501940015682492	-44.154266357421875
ENST00000569021	MPHOSPH6	5	108.0929349263509	85.46024894714355	3.3475001389638748	3.825289532846214	-0.42387542998864836	0.4777893938823392	-22.632685979207352
ENST00000538254	RNF10	6	146.83333333333334	184.642333984375	2.2020345281297247	2.676992716600131	-0.6224559760469913	0.4749581884704064	37.80900065104166
ENST00000583527	CRLF3	5	113.23350143432617	72.95915031433105	3.0817193493494006	3.5397211857423203	0.1041949409300342	0.4580018363929197	-40.27435111999512
ENST00000495544	SULF2	2	93.01490020751953	73.25650024414062	4.193273662171308	4.650438019858875	-0.5419619602274615	0.45716435768756725	-19.758399963378906
ENST00000367089	DYNLT1	5	113.58350372314453	78.03213246663411	3.497787967988774	3.944090594322305	0.279246189319652	0.446302626333531	-35.55137125651042
ENST00000545720	RAP1B	6	117.75580342610677	86.85503260294597	2.989355243405863	3.384824998969742	0.1293592970159079	0.3954697555638793	-30.900770823160798
ENST00000502597	ANAPC15	3	109.25199890136719	72.01784896850586	3.813036499533995	4.202179397669594	-0.4800942890363144	0.3891428981355993	-37.23414993286133
ENST00000424358	MMP24OS	7	123.1960678100586	88.43460083007812	3.2141490432990527	3.6016895445641444	-1.2739165109592907	0.38754050126509165	-34.76146697998047
ENST00000409321	PTMA	8	2478.2450256347656	4285.230041503906	1.416286787135629	1.7941512036718121	-3.2453381572024216	0.3778644165361831	1806.9850158691406
ENST00000514744	LPAR4	3	77.13350105285645	81.42610168457031	4.0377289341607465	4.414019776375476	-0.13961642618615352	0.3762908422147291	4.292600631713867
ENST00000348419	CNN2	4	76.43670082092285	71.7499008178711	4.097125327268959	4.455408450286729	0.2735669384669541	0.3582831230177703	-4.686800003051758
ENST00000522352	EIF3E	8	277.28467750549316	192.4971046447754	2.508416647891165	2.85059433793552	-0.3888408415731571	0.34217769004435494	-84.78757286071777
ENST00000242719	RNF11	3	79.82760047912598	76.1946029663086	3.4734172557289567	3.776299209890134	-0.5866310607129559	0.30288195416117736	-3.632997512817383
ENST00000699926	NOP10	7	166.67675018310547	151.17216873168945	2.7336562677645158	3.01138923572152	-1.2117845776097487	0.2777329679570042	-15.504581451416016
ENST00000477973	RYBP	4	83.87284851074219	91.61334991455078	3.9719934099351706	4.238087836318197	-1.1422778768043136	0.2660944263830265	7.740501403808594
ENST00000524583	FRG1	5	105.15673446655273	107.43550109863281	3.3702815161095017	3.6189217747337157	-0.5190252537237352	0.24864025862421402	2.278766632080078
ENST00000339399	ANP32B	8	384.2262496948242	478.91199493408203	1.1796159308925316	1.423337414246898	-1.9626377369228565	0.24372148335436639	94.68574523925781
ENST00000611653	GPX4	6	90.6612491607666	73.31457424163818	3.5726549857673886	3.8157882622562758	0.3187462184945852	0.24313327648888716	-17.346674919128418
ENST00000540349	ANKRD49	6	296.2750066121419	170.2930704752604	2.420191168747428	2.6614998816859607	-0.5018532842382959	0.24130871293853273	-125.9819361368815
ENST00000525469	CD44	8	260.5991802215576	269.6845016479492	2.0404186673552474	2.279876089236086	-0.6752280526909502	0.23945742188083852	9.085321426391602
ENST00000379666	MRPL33	6	102.10745239257812	86.68129920959473	3.318633969449359	3.556272499334685	-0.4760478136610275	0.23763852988532586	-15.426153182983398
ENST00000243997	ATP5F1E	8	350.0872497558594	272.6892509460449	1.5913466451893588	1.8265065383350927	-0.9807255355627127	0.23515989314573393	-77.39799880981445
ENST00000397797	HBA1	8	32939.95068359375	38603.099853515625	3.2969346766564267	3.5178816128011974	0.3341901879490056	0.22094693614477068	5663.149169921875
ENST00000465459	HLA-F	4	67.14004898071289	66.77400016784668	3.703284835015308	3.911537512239674	0.6607984321772626	0.2082526772243658	-0.36604881286621094
ENST00000536154	CCDC91	5	98.8463020324707	118.62093607584636	2.8341147396519917	3.0232860749777877	-0.39027600622659137	0.189171335325796	19.774634043375656
ENST00000586501	KIAA1328	6	105.20556386311848	184.3860321044922	2.9219964585222713	3.1089052791851084	-0.09067023359984434	0.1869088206628371	79.1804682413737
ENST00000587422	ZNF396	4	108.05019760131836	106.66855239868164	3.279547549355059	3.4583794475394862	-2.0873033589149834	0.17883189818442702	-1.3816452026367188
ENST00000389154	ATXN2	5	65.18390146891277	57.25684928894043	4.453176113645311	4.6057615838317645	-0.48480357973461946	0.15258547018645352	-7.9270521799723355
ENST00000366466	NDUFB6	3	111.6449966430664	82.67160034179688	3.663761101296966	3.806115276224978	-1.1305287753763538	0.14235417492801217	-28.97339630126953
ENST00000532400	EEF1D	7	102.96100107828777	108.06722450256348	3.05061363775071	3.1895551527910735	-0.9073405239778228	0.13894151504036367	5.106223424275711
ENST00000465139	ANP32A	5	114.36149978637695	110.25999959309895	3.1569446094454485	3.2912336982919554	-1.9686163508003278	0.13428908884650692	-4.1015001932779995
ENST00000380377	TBCA	8	265.81175231933594	285.22424697875977	2.0137817478542095	2.1379909361221947	-0.43663197819096855	0.12420918826798522	19.412494659423828
ENST00000534762	BCLAF1	3	66.72969818115234	106.38850021362305	3.1445229144428826	3.2559034850977637	-1.805147636563283	0.11138057065488116	39.6588020324707
ENST00000595051	EGLN2	3	47.907798767089844	130.4434471130371	3.6351011432315383	3.7439223414259977	-0.8083300485112682	0.10882119819445935	82.53564834594727
ENST00000534355	SELENOH	3	115.02384948730469	61.96220016479492	3.9970876289026203	4.101589503827813	-0.1664472779249605	0.1045018749251927	-53.061649322509766
ENST00000530818	PTPN11	2	45.5442008972168	87.47209930419922	3.6959510352396894	3.7910547606195784	-0.3391220712939479	0.09510372537988898	41.92789840698242
ENST00000503196	FBXL5	2	114.71700286865234	157.24200439453125	2.73924063684529	2.8297043829387727	-0.18788012867124598	0.09046374609348273	42.525001525878906
ENST00000484477	RASSF4	5	91.22294616699219	109.69669977823894	3.2811618191861998	3.362467879970397	0.2172672263855202	0.08130606078419733	18.47375361124675
ENST00000486337	WDR45	5	112.49555206298828	77.85836791992188	3.612253949026494	3.6897435265827774	-0.12589794449438957	0.07748957755628316	-34.637184143066406
ENST00000374524	PITHD1	3	97.09704971313477	64.81529998779297	3.279854107059359	3.3425750715227682	-0.17050190990295908	0.06272096446340925	-32.2817497253418
ENST00000366118	SPATS2L	7	82.99566650390625	83.63952541351318	3.7832907355970016	3.820981490753715	-0.11397791968290454	0.03769075515671361	0.6438589096069336
ENST00000559771	USP3	4	141.8300018310547	124.01426442464192	3.1780933477564792	3.2107859419962854	-0.510488544268449	0.032692594239806194	-17.815737406412765
ENST00000349807	MAL	6	94.76119995117188	89.8630256652832	3.410102130893182	3.437368463578464	1.2573444394019755	0.027266332685282002	-4.898174285888672
ENST00000474141	LAMTOR4	7	223.70480473836264	282.16200256347656	2.303027584176907	2.3253510167355644	0.29893435582590444	0.02232343255865743	58.45719782511392
ENST00000371657	UBE2V1	2	45.43040084838867	53.7952995300293	3.728147435329305	3.7441368730152784	-0.15906460772543085	0.015989437685973495	8.364898681640625
ENST00000555295	PABPN1	8	197.81800079345703	189.33110237121582	2.6924707745137946	2.702076960458474	-1.7589180353396796	0.009606185944679435	-8.486898422241211
ENST00000366089	SENP7	6	85.62263361612956	138.71966552734375	3.240025708548078	3.24831157799094	1.0014287067828196	0.008285869442862026	53.09703191121419
ENST00000409838	SNX10	8	203.69660186767578	179.47052574157715	2.6579584474281877	2.6638194596129914	-0.8490717652976911	0.005861012184803727	-24.226076126098633
ENST00000558788	GMPR2	6	116.64266459147136	100.78426615397136	3.4395987944797732	3.444253723939104	-0.3189619366768542	0.00465492945933077	-15.8583984375
ENST00000588470	GARRE1	6	92.5037260055542	136.6327018737793	3.6098042890535447	3.6071546238684893	0.5950464479673302	-0.002649665185055383	44.1289758682251
ENST00000378670	UQCRQ	6	89.71573257446289	65.76659901936848	4.257943799284534	4.23825330591541	-0.22754035245618165	-0.019690493369123985	-23.949133555094406
ENST00000468369	ZNF148	3	62.04100036621094	69.93505096435547	4.444560493249461	4.42104837460049	-0.5364305599967785	-0.023512118648970848	7.894050598144531
ENST00000262866	SLA2	4	95.64179992675781	86.51004791259766	3.768001954208665	3.7355589385702883	-0.04560138424100645	-0.03244301563837659	-9.131752014160156
ENST00000506581	RPL9	8	881.8243618011475	295.02289962768555	2.0306557839048245	1.988268063930071	0.5871881315016481	-0.042387719974753546	-586.8014621734619
ENST00000420189	RETREG2	6	78.3140017191569	75.47970072428386	3.7474731770676732	3.700764403962959	-2.089525362268576	-0.04670877310471422	-2.834300994873047
ENST00000589711	SYNGR2	4	94.91116587320964	124.98300170898438	3.1597268850141202	3.099105487473331	-0.38064872717144005	-0.060621397540789435	30.071835835774735
ENST00000605997	NDUFB1	7	149.6861228942871	156.15666707356772	3.0894791655015403	3.022869537228612	0.292399339724176	-0.06660962827292849	6.470544179280608
ENST00000629983	CAPNS1	5	53.94679832458496	75.04983266194661	3.9206032524654963	3.848845585122144	-0.14517634745718114	-0.07175766734335243	21.10303433736165
ENST00000586649	TNNT1	2	89.72319793701172	91.87799835205078	3.8041634057791494	3.7309202890642057	0.19273782270395978	-0.07324311671494366	2.1548004150390625
ENST00000310128	KCNE3	5	82.20854949951172	72.71806716918945	4.045436534513093	3.970063519938952	0.47222927503351164	-0.07537301457414092	-9.490482330322266
ENST00000392883	CD3G	5	85.6834487915039	104.53450012207031	3.4666587528123625	3.3888036146613234	0.40836047049082513	-0.07785513815103906	18.851051330566406
ENST00000272348	SNRPG	5	89.99236551920573	88.3337516784668	3.878141955945706	3.7970307176323965	0.2330865559023117	-0.08111123831330946	-1.658613840738937
ENST00000509877	RPL37	8	443.7009963989258	345.5902557373047	1.9733386989496997	1.8904293906702399	-2.267334638697303	-0.08290930827945986	-98.1107406616211
ENST00000604872	FBXW7	4	61.70159912109375	115.28906758626302	3.3233438275561795	3.2315046298251358	-1.7366347843793062	-0.09183919773104376	53.587468465169266
ENST00000518502	STAU2	7	135.97496541341147	149.50872230529785	2.8905604520940513	2.79346627912122	-0.5847239555407968	-0.0970941729728314	13.533756891886384
ENST00000396705	TPI1	8	125.01337623596191	140.28477382659912	2.949462161294347	2.8440896435033505	0.7511634555138313	-0.10537251779099632	15.271397590637207
ENST00000370645	GNG5	8	94.9777021408081	97.963623046875	3.63154437275966	3.5256555021778215	-0.609747512231765	-0.10588887058183838	2.9859209060668945
ENST00000583990	BPTF	3	89.68940162658691	109.94100189208984	3.387023336336294	3.2759448640879287	0.3496924832805077	-0.11107847224836531	20.25160026550293
ENST00000546581	PRR13	4	146.54355239868164	154.9114990234375	2.843929188804192	2.7271736855352633	-2.607226448380351	-0.1167555032689287	8.36794662475586
ENST00000511313	POLR2J3	6	116.64335250854492	118.47667407989502	3.3587903897801734	3.240114435282364	-0.20547208494640068	-0.11867595449780932	1.8333215713500977
ENST00000368738	S100A9	9	7514.447509765625	5471.627954101563	2.441609568597486	2.3141822156730063	-0.35104284012448495	-0.12742735292447982	-2042.8195556640621
ENST00000470914	IAH1	5	76.26205062866211	68.59700012207031	4.172715085777487	4.04325456989324	-0.0832512768204035	-0.12946051588424634	-7.665050506591797
ENST00000313899	HNRNPD	5	78.85970115661621	87.46646881103516	4.395150203018709	4.255630807463354	-0.39347988871476036	-0.13951939555535464	8.606767654418945
ENST00000650237	ITM2B	7	2085.605021158854	2415.166702270508	1.4494786631267338	1.3093699833673682	0.07988397092777687	-0.14010867975936558	329.5616811116538
ENST00000580787	TMEM220	4	77.39720153808594	85.09659957885742	3.9887412553439727	3.8432133324052473	1.0421375560473534	-0.1455279229387254	7.699398040771484
ENST00000506446	AMN1	3	76.51830291748047	62.546852111816406	5.0125172497712	4.852972654413222	-0.05299231790049703	-0.15954459535797838	-13.971450805664062
ENST00000429529	HECW1	3	98.54219818115234	86.4842529296875	3.7837376462389702	3.621033466145654	0.7753312544346352	-0.16270418009331644	-12.057945251464844
ENST00000242465	SRGN	6	810.2423400878906	366.79465738932294	1.7416814970577994	1.5681814717843239	0.028115370335140426	-0.17350002527347552	-443.4476826985677
ENST00000422358	RAP1B	3	80.53250122070312	55.43550109863281	4.162466847659708	3.9881459540700446	0.4513918961012064	-0.1743208935896634	-25.097000122070312
ENST00000477163	DCAF8	6	48.017799377441406	103.70444030761719	3.6120202000505013	3.431739149110313	-0.4805542916366416	-0.18028105094018843	55.686640930175784
ENST00000547743	APAF1	6	233.99725151062012	281.5815010070801	2.0116405573988208	1.8240165531471986	0.6421979135966288	-0.18762400425162218	47.58424949645996
ENST00000509314	FBXL5	2	143.47799682617188	178.9429931640625	2.9369740620071534	2.745260717135995	-0.24245016510319176	-0.19171334487115832	35.464996337890625
ENST00000674129	SNCA	7	237.65874481201172	236.74456024169922	2.3624592371757793	2.167933446468451	-0.8295779830702795	-0.19452579070732812	-0.9141845703125
ENST00000649813	COX6B1	7	362.8687438964844	263.60166422526044	1.9468305921092854	1.7442536161508426	-0.34805617698210145	-0.20257697595844282	-99.26707967122394
ENST00000553876	RBM23	3	99.05535125732422	73.30329895019531	3.3575516314170963	3.1413696574171803	-1.4065412307053606	-0.216181973999916	-25.752052307128906
ENST00000593087	UBL5	2	226.00799560546875	144.25599670410156	3.053177843689732	2.8331664755138997	-0.8483926728130434	-0.22001136817583244	-81.75199890136719
ENST00000597987	CAPN12	4	46.412601470947266	96.96226628621419	3.8447107568603927	3.6201874459605374	-0.045267820561171714	-0.22452331089985522	50.54966481526692
ENST00000422453	CNBP	8	80.44314956665039	89.35007381439209	3.730578412395079	3.4966954885850825	-0.797706363793435	-0.23388292380999642	8.9069242477417
ENST00000547249	ELK3	5	78.91200002034505	120.98884582519531	3.4875713510333135	3.2526803420444135	0.6261252499282628	-0.23489100898890003	42.076845804850265
ENST00000513272	TMA16	6	82.42630004882812	101.1918773651123	3.5357636705446582	3.2944142257817606	-1.839881857563795	-0.24134944476289766	18.76557731628418
ENST00000566295	KCTD19	4	78.85650253295898	86.08775329589844	3.948427021069622	3.699832253942117	-0.028475724782005597	-0.24859476712750528	7.231250762939453
ENST00000652443	CC2D2A	3	78.33940124511719	81.55889892578125	4.090293529494446	3.837058850461034	-1.1840229142857492	-0.2532346790334117	3.2194976806640625
ENST00000612418	AKAP13	7	966.9249744415283	906.9259847005209	2.054009746432329	1.7994842301349152	-1.7503541998144014	-0.2545255162974138	-59.99898974100745
ENST00000521933	MTDH	7	450.6203308105469	599.6997680664062	1.335044572797682	1.080494548962557	-1.07292496791668	-0.25455002383512504	149.07943725585938
ENST00000225655	PFN1	5	54.11224937438965	87.39636611938477	4.091673231580209	3.831060311502288	0.2882459216662043	-0.2606129200779215	33.28411674499512
ENST00000590211	CAPNS1	7	262.41500091552734	307.2169952392578	1.8863216867071977	1.621278145307655	-0.24223656000080157	-0.26504354139954267	44.80199432373047
ENST00000677325	NPM1	8	112.22159957885742	161.47724723815918	2.981607380846877	2.695612085676107	-1.0164316786391738	-0.2859952951707698	49.25564765930176
ENST00000492785	GCC2	5	95.81884765625	126.19466654459636	3.3556604272232073	3.0681986221877335	-0.2120477449897825	-0.2874618050354738	30.37581888834636
ENST00000329099	RFLNB	6	95.85955047607422	92.43440055847168	3.8041379991653135	3.509322161038046	0.3403507252542109	-0.2948158381272674	-3.425149917602539
ENST00000512608	ICE1	7	83.42963155110677	120.17394638061523	3.4252341527501304	3.112324863475732	-0.837632796920525	-0.31290928927439854	36.74431482950847
ENST00000554256	RBM23	2	41.069400787353516	83.089599609375	4.067931960578374	3.7436470112078073	-1.6210712810797787	-0.3242849493705666	42.020198822021484
ENST00000584423	NSRP1	5	88.41630172729492	122.56819915771484	3.835755963213967	3.5046906054169384	-0.00848027026851723	-0.3310653577970286	34.15189743041992
ENST00000605042	FBXW7	4	98.11484909057617	121.72754669189453	3.061557844440003	2.717844670974995	-2.260413655960627	-0.34371317346500785	23.61269760131836
ENST00000714422	STK17B	8	123.69419860839844	162.53187370300293	3.1546690492999314	2.808195004053945	0.557292549938218	-0.34647404524598624	38.83767509460449
ENST00000380842	POMP	6	101.89947319030762	93.29235076904297	3.4545450019808324	3.101876128668941	-0.2579127619903391	-0.35266887331189123	-8.607122421264648
ENST00000561006	PPP2R5C	5	57.51264953613281	107.94520060221355	3.7377721356590907	3.3709459667116746	-0.03567049565998235	-0.36682616894741615	50.432551066080734
ENST00000420397	MARCHF7	6	100.74106852213542	120.53666687011719	3.809321783678511	3.439699719944773	0.43341325710742523	-0.36962206373373796	19.795598347981766
ENST00000648006	B2M	8	214.63365745544434	146.9936008453369	3.017947424950459	2.6129520866025406	0.6871702586384315	-0.40499533834791857	-67.64005661010742
ENST00000259006	LIMD2	5	207.79570198059082	214.43499755859375	2.302030742010115	1.874631129533114	-0.8741756426602233	-0.427399612477001	6.63929557800293
ENST00000547859	PCBP2	7	330.8607482910156	347.9189961751302	1.306735836871902	0.8598302792218767	0.3012635646838916	-0.44690555765002526	17.058247884114564
ENST00000585098	NDEL1	4	69.31340026855469	95.18724822998047	4.040447627325271	3.592948030089617	-1.179502380347196	-0.44749959723565436	25.87384796142578
ENST00000524074	PFDN1	8	92.14777565002441	133.01172256469727	3.3625697259785174	2.89325036717674	0.21846123704926698	-0.46931935880177766	40.86394691467285
ENST00000398937	CLEC1B	5	93.50360107421875	166.17333221435547	3.0750530134295926	2.6047309244065926	-0.23849218022881358	-0.470322089023	72.66973114013672
