analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	bootstrap_delta_mean_TOL_minus_AC_median	bootstrap_delta_mean_TOL_minus_AC_ci95_low	bootstrap_delta_mean_TOL_minus_AC_ci95_high	empirical_permutation_p_one_sided_TOL_gt_AC	empirical_permutation_p_two_sided	mannwhitney_p_two_sided	welch_t_p_two_sided	cliffs_delta_TOL_vs_AC	direction_supports_hypothesis	excluded_sample
all_BC_samples_leave_one_out	strict_burden_q90	6	4	5.361227852521327	6.615481807054133	5.19574597454788	7.075210169994583	1.254253954532806	1.3010454933385516	-2.9923745378654325	4.960320952447814	0.3142857142857143	0.6666666666666666	0.5929096584060489	0.6002015091189699	0.25	True	SRR32060276
all_BC_samples_leave_one_out	strict_burden_q95	6	4	13.653204866922529	17.20443748618945	13.917370651586996	17.677079227438654	3.5512326192669192	3.5512326192669175	-6.192409749386638	12.697276093400724	0.3047619047619048	0.6190476190476191	0.5929096584060489	0.5330328676840255	0.25	True	SRR32060276
all_BC_samples_leave_one_out	strict_top_1pct_burden_mass	6	4	13162.49717483562	19026.387613785115	14659.36324689565	19381.008359616062	5863.890438949495	5863.890438949495	-4916.815843898577	16619.679447465624	0.20952380952380953	0.40476190476190477	0.5929096584060489	0.37865369630240325	0.25	True	SRR32060276
all_BC_samples_leave_one_out	strict_burden_q90	6	4	5.361227852521327	6.768107680904048	5.19574597454788	7.075210169994583	1.4068798283827215	1.443454323571772	-2.756671076730214	5.046409399671452	0.30952380952380953	0.6476190476190476	0.5929096584060489	0.5524606763842647	0.25	True	SRR32060306
all_BC_samples_leave_one_out	strict_burden_q95	6	4	13.653204866922529	17.81562660150894	13.917370651586996	17.677079227438654	4.16242173458641	4.16242173458641	-5.391063049726103	13.176503050979939	0.24761904761904763	0.5238095238095238	0.5929096584060489	0.46104553053350494	0.25	True	SRR32060306
all_BC_samples_leave_one_out	strict_top_1pct_burden_mass	6	4	13162.49717483562	16287.64136050043	14659.36324689565	15213.042970980003	3125.1441856648107	3055.1626334899656	-9008.187470236931	15354.67676330596	0.32857142857142857	0.6523809523809524	0.7483812122920345	0.6744689550674204	0.16666666666666666	True	SRR32060306
all_BC_samples_leave_one_out	strict_burden_q90	5	5	6.433473423025592	6.340256976534633	6.507102365890821	6.981627092383093	-0.09321644649095884	-0.07489362105603758	-4.354584750941507	3.870967788704381	0.5158730158730159	0.9761904761904762	1.0	0.9703664892984076	0.04	False	SRR32060309
all_BC_samples_leave_one_out	strict_burden_q95	5	5	16.383845840307036	16.907653588478933	16.973134444322802	17.09902547013483	0.5238077481718975	0.4124082408093326	-8.91763473486536	10.053630996513283	0.45634920634920634	0.9126984126984127	1.0	0.9280980073612676	0.04	True	SRR32060309
all_BC_samples_leave_one_out	strict_top_1pct_burden_mass	5	5	15794.996609802745	16420.078934753452	17273.34857350192	16949.829231765543	625.0823249507066	483.5255528264679	-9802.05540452566	11878.626168692368	0.4603174603174603	0.9206349206349206	1.0	0.9232630023969165	-0.04	True	SRR32060309
all_BC_samples_leave_one_out	strict_burden_q90	5	5	5.132052949847427	6.340256976534633	3.884389583204939	6.981627092383093	1.2082040266872056	1.2649660604988702	-3.821813429949961	5.545274631616118	0.34523809523809523	0.6904761904761905	0.6751736149271245	0.6756220432290381	0.2	True	SRR32060312
