Transcript_ID	SRR32060276	SRR32060306	SRR32060309	SRR32060312	SRR32060326	SRR32060336	SRR32060341	SRR32060215	SRR32060216	SRR32060234	SRR32060240
ENST00000650178.1	29.848	42.1963	181.983	31.1742	14.693	18.9997	25.5917	11.924	30.1044	53.0	0.0
ENST00000650182.1	1294.98	975.598	3508.01	4493.51	665.347	503.548	613.427	277.74	595.658	539.755	1227.98
ENST00000650197.1	55.1262	58.367	0.0	0.0	27.3368	0.0	0.0	0.0	6.33871	0.0	284.922
ENST00000650210.1	13.0173	17.1313	33.3159	2.06058	13.2729	3.49449	7.35964	3.09977	9.37664	0.0	8.80316
ENST00000650221.1	299.055	140.058	615.612	76.8499	97.0	1.67049e-05	92.9866	27.8129	97.965	0.000126358	0.0
ENST00000650237.1	4569.53	1834.2	11133.7	13004.3	1845.7	1220.97	1767.41	671.659	1385.32	2967.62	5086.3
ENST00000650242.1	1178.11	65.0541	921.0	1.30294	0.0761384	672.979	0.708616	166.314	19.3377	9812.29	73.5175
ENST00000650262.2	3.0	20.842	41.0	26.0158	6.04518	8.0	6.14055	6.0	11.0	16.0	211.0
ENST00000650274.1	231.441	179.427	806.712	668.438	74.2994	132.032	74.749	82.1216	122.047	732.669	118.072
ENST00000650285.1	106.195	49.7237	575.658	328.243	37.6779	54.0555	41.9157	11.8665	38.8024	68.0649	29.5188
ENST00000650298.1	0.51339	9.0	68.0	20.0	0.0	3.0	1.0	0.0	3.0	0.0	53.0
ENST00000650309.2	201.972	153.626	1174.19	484.86	83.4423	106.304	94.7549	51.5021	76.8168	338.88	195.415
ENST00000650311.1	83.5264	46.4022	254.831	175.898	42.914	26.7097	32.9684	7.18032	38.3868	100.461	4.00154
ENST00000650315.1	47.6588	0.0	151.082	237.382	13.9458	3.87704	29.8698	38.6818	8.56027	172.539	215.646
ENST00000650332.1	28.0926	0.0	1.84643	37.029	15.7686	6.14928	7.25094	5.0	2.68204	1.24591	7.28121
ENST00000650348.1	0.0	25.785	248.092	28.9422	21.1788	27.6135	36.402	2.6424	9.57787	0.0	6.92201
ENST00000650354.1	250.367	280.594	1181.28	1239.03	153.439	138.762	182.302	141.476	251.617	174.691	420.765
ENST00000650372.1	44.2763	21.4213	97.304	27.1962	11.6862	3.81387	12.2226	4.20198	4.28568	0.0	0.0
ENST00000650373.2	5.48152	2.02156	12.564	12.7406	2.1303	1.64391	2.66809	0.914009	0.637392	1.42929	18.1777
ENST00000650385.1	3860.78	1270.75	19003.7	17158.2	3061.28	1698.37	908.056	793.99	2183.45	5511.56	8352.67
ENST00000650396.1	19.0	11.7421	54.1944	17.0	7.74206	9.61308	5.74206	12.0	20.3551	82.0	25.0
ENST00000650409.1	0.0	0.0	74.5932	49.6238	0.0	13.0291	17.2893	8.75857	27.2947	1.0	0.0
ENST00000650427.1	30.0	38.0	50.0	106.0	9.0	10.0	21.0	10.0	11.0	0.0	0.0
ENST00000650436.1	0.0	13.0355	75.2773	247.41	20.4232	10.0515	26.9299	10.4316	26.1859	0.0	0.0
ENST00000650467.2	202.697	177.594	663.42	806.866	110.043	101.555	79.8343	55.5426	118.175	96.7351	142.473
ENST00000650479.1	0.0	0.0	0.0	344.645	46.4532	0.0	94.8513	0.0	6.81515	0.0	0.0
ENST00000650481.1	1.4245	0.0	42.8234	76.49	18.0803	18.8354	21.6874	0.0	13.6078	0.0	24.3898
ENST00000650521.1	24.9426	13.1842	67.6259	36.1037	10.9677	9.10684	6.44061	2.27653	8.67745	13.693	17.8529
ENST00000650532.1	17.0	0.0	40.0	49.0	4.0	6.0	6.0	0.0	11.0	0.0	0.0
ENST00000650540.1	19.0	5.0	97.6235	47.1242	3.0	5.04784	7.0	3.0	10.0	17.0	22.0
ENST00000650546.1	50.2631	37.8047	282.843	33.5049	49.2598	18.1072	12.0747	7.14901	24.8604	62.4103	3.06453
