sample	Group	n_nonsense
SRR32060215	AC	1
SRR32060216	TOL	76
SRR32060234	AC	12
SRR32060240	AC	15
SRR32060276	TOL	26
SRR32060306	TOL	29
SRR32060309	AC	21
SRR32060312	AC	29
SRR32060326	AC	138
SRR32060336	TOL	104
SRR32060341	TOL	50
