analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_AC_minus_TOL	mannwhitney_p	welch_t_p	cliffs_delta_AC_vs_TOL	FDR_mannwhitney	FDR_welch
all_BC_samples	strict_amyloid_TPM	6	5	74691.09114583333	95300.96171875	86089.78515625	93585.984375	-20609.87057291667	0.647328684583698	0.5632440371242327	-0.2	0.7767944215004375	0.7798074493132545
all_BC_samples	strict_amyloid_TPM_fraction	6	5	0.07863657797376315	0.14667832106351852	0.08874538913369179	0.1516553908586502	-0.06804174308975537	0.11984615709682368	0.08435563155455172	-0.6	0.7190769425809421	0.5061337893273103
all_BC_samples	strict_weighted_index_sum	6	5	-12897.512471618675	-18912.593731557296	-12644.647477934835	-18088.767930712896	6015.081259938621	0.647328684583698	0.5338883640926905	0.2	0.7767944215004375	0.7798074493132545
all_BC_samples	strict_expression_weighted_amyloid_index	4	5	-0.17944099406810934	-0.14445549164333865	-0.20945293390673408	-0.1269513060906065	-0.03498550242477069	1.0	0.7379766369818318	0.0	1.0	0.7798074493132545
all_BC_samples	continuous_expression_weighted_amyloid_index	6	5	-0.13202813292528545	-0.10744638196286246	-0.17967639471034963	-0.10395765803334835	-0.024581750962422988	0.5367965367965368	0.7798074493132545	-0.26666666666666666	0.7767944215004375	0.7798074493132545
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	6	5	1214.8333333333333	1663.2	1594.5	1974.0	-448.3666666666668	0.3142001092738079	0.43328753512061247	-0.4	0.7767944215004375	0.7798074493132545
coverage_qc	strict_amyloid_TPM	6	4	74691.09114583333	114685.453125	86089.78515625	115943.7421875	-39994.36197916667	0.4541742673554505	0.22000694392062428	-0.3333333333333333	0.5714285714285714	0.3623152894065545
coverage_qc	strict_amyloid_TPM_fraction	6	4	0.07863657797376315	0.13245377130806446	0.08874538913369179	0.12830163538455963	-0.05381719333430131	0.23952554419355576	0.1601240536920807	-0.5	0.4790510883871115	0.3623152894065545
coverage_qc	strict_weighted_index_sum	6	4	-12897.512471618675	-24281.775511105177	-12644.647477934835	-25455.654488080538	11384.263039486503	0.23952554419355576	0.2415435262710363	0.5	0.4790510883871115	0.3623152894065545
coverage_qc	strict_expression_weighted_amyloid_index	4	4	-0.17944099406810934	-0.21665749649291238	-0.20945293390673408	-0.18213865035714794	0.03721650242480304	0.6857142857142857	0.6726760513876303	0.25	0.6857142857142857	0.6726760513876303
coverage_qc	continuous_expression_weighted_amyloid_index	6	4	-0.13202813292528545	-0.08279311990259161	-0.17967639471034963	-0.08634428105870787	-0.04923501302269384	0.47619047619047616	0.6019440780667986	-0.3333333333333333	0.5714285714285714	0.6726760513876303
coverage_qc	n_strict_amyloid_expressed_TPM_ge_1	6	4	1214.8333333333333	2027.75	1594.5	2070.5	-812.9166666666667	0.16452181748948458	0.09902164392999271	-0.5833333333333334	0.4790510883871115	0.3623152894065545
