gene	mean_log2_TPM_plus1_AC	mean_log2_TPM_plus1_TOL	delta_log2_TPM_plus1_TOL_minus_AC	welch_t_TOL_vs_AC	welch_p_value	rank_metric	FDR
OR2V1	0.2799339344104131	1.0497453063726425	0.7698113719622295	3.6674516595072615	0.007650918684489846	3.6674516595072615	1.0
FSD1L	1.0655762627720833	2.5287299156188965	1.4631536528468132	3.6488940168288293	0.007086351145171311	3.6488940168288293	1.0
CYB5R2	0.0730564296245575	1.0506226792931557	0.9775662496685982	3.63177199568351	0.02801448646186571	3.63177199568351	1.0
KLHL30	0.41069018840789795	1.2777079641819	0.8670177757740021	3.6241498814887234	0.008122450923215674	3.6241498814887234	1.0
ANO7	0.5570979348073403	1.6395613551139832	1.082463420306643	3.614746522692576	0.007051043271175789	3.614746522692576	1.0
ALDH1L1	1.1867271264394124	3.1697028279304504	1.982975701491038	3.5681884272222066	0.009547424860871468	3.5681884272222066	1.0
GPR162	0.1802550951639811	1.355712667107582	1.175457571943601	3.567669627590299	0.013656526078500292	3.567669627590299	1.0
ALDOC	0.5625916918118795	1.9935887157917023	1.4309970239798226	3.5402385659259004	0.010379852072657908	3.5402385659259004	1.0
ADRB3	0.49053535362084705	2.0135528445243835	1.5230174909035366	3.530584945130998	0.008493999697216101	3.530584945130998	1.0
MFSD6	2.0980824629465737	3.1047186851501465	1.0066362222035727	3.5224109830034274	0.009470534756065976	3.5224109830034274	1.0
ZNF695	0.6073067337274551	1.4308077991008759	0.8235010653734207	3.5152733909103606	0.008600090310477985	3.5152733909103606	1.0
HAS3	0.2346000795563062	1.0817199796438217	0.8471199000875155	3.4957382626995384	0.008533893694217844	3.4957382626995384	1.0
XRCC1	0.4686572353045146	1.719179391860962	1.2505221565564473	3.4869168720300556	0.017726944034842332	3.4869168720300556	1.0
TMEM81	0.19980980455875397	1.3184351921081543	1.1186253875494003	3.4618615208247445	0.02375734964786476	3.4618615208247445	1.0
CPSF4	1.1762463847796123	2.8808038234710693	1.704557438691457	3.460888246873181	0.00869457328144093	3.460888246873181	1.0
LIPE	0.0	1.678392916917801	1.678392916917801	3.4571734061955275	0.04072369840370248	3.4571734061955275	1.0
RASSF9	0.6356059511502584	1.3146377503871918	0.6790317992369334	3.4524972227150856	0.010343243557092562	3.4524972227150856	1.0
MCAM	0.165035347143809	0.6137135475873947	0.44867820044358575	3.4499146914225793	0.021794421666309245	3.4499146914225793	1.0
FXYD2	0.3817157745361328	2.2510081827640533	1.8692924082279205	3.442183494010362	0.009800973980327506	3.442183494010362	1.0
CCDC180	1.1103489821155865	2.1586678326129913	1.0483188504974048	3.3876133973422977	0.009535890969251733	3.3876133973422977	1.0
FXYD6	0.810215674340725	2.3319106698036194	1.5216949954628944	3.3858780303108813	0.011356249809832816	3.3858780303108813	1.0
CCDC38	0.7793446443974972	1.966259926557541	1.1869152821600437	3.372238242681518	0.013075655356803547	3.372238242681518	1.0
SNX15	1.4803694536288579	2.637257218360901	1.156887764732043	3.361756273523668	0.010838627149421675	3.361756273523668	1.0
NAPEPLD	2.205994556347529	3.303411841392517	1.0974172850449881	3.3514436912827748	0.019571402341858717	3.3514436912827748	1.0
TTLL1	0.7780962586402893	2.316000998020172	1.5379047393798828	3.330723723873239	0.010458690324676239	3.330723723873239	1.0
UST	1.1752986796200275	2.597405195236206	1.4221065156161785	3.3196971847475485	0.011106499898206218	3.3196971847475485	1.0
EPHA10	1.0411471178134282	2.930980622768402	1.889833504954974	3.3116038071208354	0.012525418651055394	3.3116038071208354	1.0
TSC22D4	0.3784017786383629	1.1621821075677872	0.7837803289294243	3.305760643599944	0.013483696638478246	3.305760643599944	1.0
SYBU	0.30280465446412563	1.3692559599876404	1.0664513055235147	3.3030453779241484	0.013819546230504586	3.3030453779241484	1.0
C8orf82	1.8643775780995686	3.0189738273620605	1.154596249262492	3.2892524955242415	0.016775826159721896	3.2892524955242415	1.0
ENSG00000284976	0.46908127268155414	1.5429353415966034	1.0738540689150493	3.2804145865975123	0.0129972444879498	3.2804145865975123	1.0
SCTR	0.8720844984054565	2.4148411452770233	1.5427566468715668	3.2692236397525485	0.012273688092071697	3.2692236397525485	1.0
SLC10A1	0.3424264093240102	1.5189749151468277	1.1765485058228176	3.245005470930461	0.013483291316743038	3.245005470930461	1.0
RANBP3L	1.0444186615447204	2.235552430152893	1.1911337686081727	3.2434287728369586	0.014767471850747848	3.2434287728369586	1.0
KIFC3	1.1303702592849731	3.736425042152405	2.6060547828674316	3.2410855408951504	0.014761592681296423	3.2410855408951504	1.0
FIRRM	0.07636112968126933	1.1576694697141647	1.0813083400328953	3.2271399439743487	0.04164921925160619	3.2271399439743487	1.0
SMN2	1.133153776327769	3.3442700505256653	2.211116274197896	3.224973493542072	0.012356340628901306	3.224973493542072	1.0
USP9Y	0.9770924833913645	2.925100326538086	1.9480078431467214	3.2171569711605867	0.01261560583662113	3.2171569711605867	1.0
CACNA1I	0.11178979277610779	0.6344952471554279	0.5227054543793201	3.2142442599531917	0.027866072304352976	3.2142442599531917	1.0
INVS	0.672656104589502	1.8156688213348389	1.143012716745337	3.210040230017548	0.014483213191198153	3.210040230017548	1.0
RRS1	0.6238045791784922	1.8646156191825867	1.2408110400040946	3.1997124193850834	0.015299058971289319	3.1997124193850834	1.0
IFT27	0.29048168659210205	1.3522800654172897	1.0617983788251877	3.1900672078918477	0.014159471337474656	3.1900672078918477	1.0
B3GALT5	0.32460227608680725	0.8856532126665115	0.5610509365797043	3.173788041078116	0.014633344108964786	3.173788041078116	1.0
ASMTL	1.2652752473950386	2.6033304929733276	1.338055245578289	3.1671417380560545	0.0159352256213751	3.1671417380560545	1.0
DIRAS2	1.142860233783722	3.8480737805366516	2.7052135467529297	3.1557773637339532	0.014224077248304443	3.1557773637339532	1.0
ANKRD18A	1.0999333659807842	3.313952386379242	2.2140190203984575	3.143460440571406	0.013841789589676568	3.143460440571406	1.0
SPECC1	5.982553005218506	6.700418591499329	0.7178655862808228	3.1368867300228116	0.013934555848137973	3.1368867300228116	1.0
GNA12	3.2821248372395835	4.05120974779129	0.7690849105517068	3.132730352904473	0.013971284871236871	3.132730352904473	1.0
DYNC2I1	4.373207767804463	5.636334419250488	1.2631266514460249	3.129490462910091	0.018472661998904207	3.129490462910091	1.0
SLITRK3	0.06359004353483518	0.29421956464648247	0.2306295211116473	3.1268693964707053	0.03173086520597779	3.1268693964707053	1.0
YY2	0.09050676226615906	1.0378389582037926	0.9473321959376335	3.124883418158845	0.04089739545124909	3.124883418158845	1.0
GSK3A	1.2951728999614716	2.707519054412842	1.4123461544513702	3.09376550362909	0.017466173288864722	3.09376550362909	1.0
TBCK	1.4944130678971608	2.77004611492157	1.275633047024409	3.080701255434367	0.01542683293952813	3.080701255434367	1.0
CSRNP3	0.05322390546401342	0.31223214417696	0.2590082387129466	3.067461470669723	0.048670258892211986	3.067461470669723	1.0
DAPK1	0.3683492491642634	0.9096555262804031	0.5413062771161397	3.064764455341954	0.015506663378496275	3.064764455341954	1.0
STUB1	0.38934042553106946	1.5982596576213837	1.2089192320903142	3.0626046945183094	0.01698320711540539	3.0626046945183094	1.0
A1CF	0.5431250035762787	1.6502388417720795	1.1071138381958008	3.060772552779797	0.024828960278821463	3.060772552779797	1.0
ABCB4	0.4594610581795375	2.287208914756775	1.8277478565772374	3.0449666255569268	0.03577240001128159	3.0449666255569268	1.0
WASF2	7.8840634028116865	8.477060556411743	0.5929971536000567	3.040221144549218	0.017340586561941124	3.040221144549218	1.0
GALNT5	0.6183945735295614	0.9460823833942413	0.32768780986467994	3.0304163805762676	0.023228093536725614	3.0304163805762676	1.0
RFWD3	1.0499857862790425	2.600737303495407	1.5507515172163646	3.014376017558961	0.025145422344552304	3.014376017558961	1.0
TRIM68	0.5228275259335836	1.9462896585464478	1.423462132612864	3.002826935863127	0.01705733573225689	3.002826935863127	1.0
SLCO1B1	0.0	0.23315682262182236	0.23315682262182236	2.9922007064630445	0.05802861856120011	2.9922007064630445	1.0
VSTM1	3.8967127799987793	5.4453208446502686	1.5486080646514893	2.9759840099957953	0.0202792838992187	2.9759840099957953	1.0
KLHL12	1.2488143344720204	2.4941688179969788	1.2453544835249584	2.9733858638032262	0.01802451246900202	2.9733858638032262	1.0
CCL16	0.0	1.6641541719436646	1.6641541719436646	2.969844650907165	0.05907548210701903	2.969844650907165	1.0
ABCD4	1.8845072388648987	2.8959803581237793	1.0114731192588806	2.9697934862625197	0.01878247448880219	2.9697934862625197	1.0
CELF6	1.290078341960907	2.3055802285671234	1.0155018866062164	2.958682732473597	0.023022479408405246	2.958682732473597	1.0
H2BC15	1.461584985256195	2.5395857095718384	1.0780007243156433	2.9475769247893315	0.020761968136910825	2.9475769247893315	1.0
ARMCX2	0.0	0.7904005646705627	0.7904005646705627	2.9449257561965596	0.06027041809789387	2.9449257561965596	1.0
SAT2	2.825154662132263	3.6599114537239075	0.8347567915916443	2.9348970012196616	0.025917259686618177	2.9348970012196616	1.0
LMO7	2.9553972482681274	5.440182209014893	2.484784960746765	2.933020636802211	0.01963777019874459	2.933020636802211	1.0
ZNF404	0.0	0.7310577780008316	0.7310577780008316	2.9323472012645553	0.060885099045430706	2.9323472012645553	1.0
DAG1	0.772882786889871	1.4945802092552185	0.7216974223653475	2.9309825294800684	0.027783203527754454	2.9309825294800684	1.0
NOXO1	0.0	2.0510473251342773	2.0510473251342773	2.928515835418657	0.06107388591135769	2.928515835418657	1.0
SMIM10L2A	0.0	0.4586487263441086	0.4586487263441086	2.9270412588443113	0.06114673950735071	2.9270412588443113	1.0
SLC38A11	0.39934440702199936	1.4324712008237839	1.0331267938017845	2.9247044750665325	0.036652922852147996	2.9247044750665325	1.0
VPS52	1.007386753956477	1.9309254884719849	0.9235387345155079	2.9235151974620868	0.019765414899144386	2.9235151974620868	1.0
IGF1	0.6976721628258625	1.5151401162147522	0.8174679533888897	2.9231437660968442	0.020610513204264082	2.9231437660968442	1.0
LDHD	0.0	0.46944333612918854	0.46944333612918854	2.9173638731773814	0.06162757394329904	2.9173638731773814	1.0
CEP44	1.7252526879310608	3.1932995915412903	1.4680469036102295	2.9113368584447796	0.020426980211810816	2.9113368584447796	1.0
FZD8	0.0	0.3270047530531883	0.3270047530531883	2.910154796886989	0.06198884501142944	2.910154796886989	1.0
C8orf34	0.9965979357560476	1.5780325531959534	0.5814346174399058	2.909045652089074	0.02364090493571755	2.909045652089074	1.0
RTL8B	0.25904545684655506	1.0124474167823792	0.7534019599358242	2.908424559791178	0.019802745598923095	2.908424559791178	1.0
THBS4	0.0	0.3163570463657379	0.3163570463657379	2.9060724768577106	0.06219459892875725	2.9060724768577106	1.0
BCL9	0.9350934028625488	2.062898635864258	1.127805233001709	2.9046240474551848	0.02254884522042973	2.9046240474551848	1.0
C19orf18	0.0	2.0208693742752075	2.0208693742752075	2.899380952888791	0.0625337108622572	2.899380952888791	1.0
CFHR1	0.0	0.9176279604434967	0.9176279604434967	2.8973339108653717	0.06263791210432858	2.8973339108653717	1.0
CORO6	0.19135641058286032	1.2467545717954636	1.0553981612126033	2.8900340280891657	0.046412553193363494	2.8900340280891657	1.0
DZIP1L	0.22642054657141367	0.8697456270456314	0.6433250804742178	2.8892430843583625	0.02258253677236529	2.8892430843583625	1.0
LILRB5	1.380974570910136	2.422443777322769	1.0414692064126332	2.874354842043484	0.020697677052280167	2.874354842043484	1.0
LRBA	1.275299886862437	2.2348524928092957	0.9595526059468586	2.8594334316001464	0.021468288345338243	2.8594334316001464	1.0
CSTPP1	1.2955902864535649	2.606405258178711	1.310814971725146	2.857657198735473	0.032250260917999624	2.857657198735473	1.0
PDZK1	0.4520581165949504	1.3695443272590637	0.9174862106641133	2.847354830265034	0.027363303895993823	2.847354830265034	1.0
ZNF517	0.6376182734966278	1.8007352352142334	1.1631169617176056	2.8462271671146318	0.023869600373908492	2.8462271671146318	1.0
WDR46	1.3344225883483887	2.7608893513679504	1.4264667630195618	2.846222826445589	0.023380837850005984	2.846222826445589	1.0
ADGRF1	1.7623875712354977	3.2721455693244934	1.5097579980889957	2.84540770709853	0.021723072248417834	2.84540770709853	1.0
ZMYND19	0.26698437829812366	1.2035952806472778	0.9366109023491542	2.8299857743693764	0.046976424125300134	2.8299857743693764	1.0
TOE1	1.5316959818204243	2.7566598057746887	1.2249638239542644	2.8269356924691516	0.02278585550735322	2.8269356924691516	1.0
USP30	2.121256167689959	3.9234031438827515	1.8021469761927924	2.82015939634001	0.022895629769349588	2.82015939634001	1.0
TULP3	1.2840977509816487	3.3918203711509705	2.107722620169322	2.817847630200043	0.032446662630948156	2.817847630200043	1.0
CXCL9	0.06112674375375112	0.8916631266474724	0.8305363828937212	2.8057726861856565	0.06466919064454654	2.8057726861856565	1.0
STX8	0.0	1.8265600204467773	1.8265600204467773	2.804756307527748	0.06758576169664071	2.804756307527748	1.0
XAB2	0.0	0.25239165127277374	0.25239165127277374	2.802865020849668	0.06769182899014052	2.802865020849668	1.0
MAP3K14	0.5212085346380869	1.6396198272705078	1.118411292632421	2.8026275231218793	0.028819211445441386	2.8026275231218793	1.0
SKIC3	1.1388458166674507	2.6194950342178345	1.4806492175503838	2.79984828738502	0.026966228162318112	2.79984828738502	1.0
AACS	0.9122312168280283	2.301107168197632	1.3888759513696036	2.796804585125168	0.0237337458867155	2.796804585125168	1.0
ECRG4	0.4801091154416402	1.7114041447639465	1.2312950293223064	2.790942394488188	0.025416251209240924	2.790942394488188	1.0
CNOT1	2.429170777400335	4.102421522140503	1.673250744740168	2.788217585104852	0.038372052999990594	2.788217585104852	1.0
ZNF703	0.3850099394718806	1.3241409286856651	0.9391309892137845	2.7779923733325895	0.04608245022943339	2.7779923733325895	1.0
HMX3	0.6434447119633356	1.9188345968723297	1.2753898849089942	2.775945525642909	0.03356332305156596	2.775945525642909	1.0
PREX2	0.2445510340233644	0.7665988057851791	0.5220477717618147	2.7714841891766238	0.02434659862483963	2.7714841891766238	1.0
ADAM12	0.20853033661842346	0.612127423286438	0.4035970866680145	2.76874566811265	0.03829934870201532	2.76874566811265	1.0
SEMA6C	0.00718865729868412	0.2548699602484703	0.2476813029497862	2.764267875144872	0.06889572536281323	2.764267875144872	1.0
ENHO	0.054827332496643066	1.0475594997406006	0.9927321672439575	2.763430422837262	0.06636431168264266	2.763430422837262	1.0
ZNF410	2.354800283908844	4.058178782463074	1.7033784985542297	2.7619092027332486	0.02745803478038849	2.7619092027332486	1.0
ZDHHC1	0.07563138504823048	1.198503538966179	1.1228721539179485	2.7614104199017513	0.06479572037566399	2.7614104199017513	1.0
POLR3B	1.327042430639267	3.171162486076355	1.844120055437088	2.7556431480104333	0.026738382494834657	2.7556431480104333	1.0
ECM2	0.0	1.0036253482103348	1.0036253482103348	2.74302262502733	0.0711575177781974	2.74302262502733	1.0
UBE2T	0.33461809158325195	1.5225850939750671	1.1879670023918152	2.7420255543834857	0.02545192572829833	2.7420255543834857	1.0
IMMT	3.492398420969645	4.685398995876312	1.1930005749066672	2.7412371708135437	0.025422835680697947	2.7412371708135437	1.0
ERAL1	1.2830323775609334	2.723310112953186	1.4402777353922527	2.734890748635592	0.027725264517227954	2.734890748635592	1.0
RIN1	1.2544081788510084	2.544330596923828	1.2899224180728197	2.733573818110833	0.02644367241513607	2.733573818110833	1.0
CACNA2D2	0.43051140010356903	1.1310023069381714	0.7004909068346024	2.7324152781814184	0.033902792279696344	2.7324152781814184	1.0
CFAP100	0.0	0.521174281835556	0.521174281835556	2.731736775854244	0.07183564204381614	2.731736775854244	1.0
QTRT2	3.3673148949941	4.706378400325775	1.339063505331675	2.7281901728326874	0.02910663596008225	2.7281901728326874	1.0
ADGRG2	0.5548782447973887	1.2804450690746307	0.7255668242772421	2.724494279829626	0.026422529728666048	2.724494279829626	1.0
MEN1	0.615886909266313	1.1922554075717926	0.5763684983054796	2.721189354616656	0.02623588469286269	2.721189354616656	1.0
ADAR	2.3365335116783776	4.675608813762665	2.339075302084287	2.717866261682645	0.026504861906490335	2.717866261682645	1.0
ADCY5	0.20636517802874246	0.8373016193509102	0.6309364413221678	2.713940302987672	0.05773127053043326	2.713940302987672	1.0
IMMP2L	0.9695423444112142	2.3469702005386353	1.377427856127421	2.7104288568219546	0.02901523030231148	2.7104288568219546	1.0
DPH2	0.39962074160575867	1.2183271795511246	0.8187064379453659	2.710142349428978	0.02784497365172022	2.710142349428978	1.0
GFAP	2.8736172914505005	4.914364993572235	2.0407477021217346	2.7019424007626314	0.02939904709409926	2.7019424007626314	1.0
LLGL2	0.3590802202622096	1.7995306476950645	1.440450427432855	2.701742521789529	0.055148319747053705	2.701742521789529	1.0
TIGD6	0.5277385214964548	1.0990567952394485	0.5713182737429937	2.701438655642395	0.02745901922763265	2.701438655642395	1.0
CDKN1C	5.133438944816589	6.893586874008179	1.7601479291915894	2.699551167919186	0.028144409605679117	2.699551167919186	1.0
ZNF561	2.9120952685674033	4.13665246963501	1.2245572010676065	2.6929654066163695	0.027740386080318185	2.6929654066163695	1.0
NQO1	1.3840225860476494	2.865978956222534	1.4819563701748848	2.6885070079138047	0.02903813475385597	2.6885070079138047	1.0
NOA1	1.3993791739145915	2.6978739500045776	1.298494776089986	2.688110961341402	0.034003540690294376	2.688110961341402	1.0
POLA2	0.011230771740277609	1.9139751587063074	1.9027443869660299	2.6844194049568175	0.074727192821337	2.6844194049568175	1.0
PEX16	1.927703320980072	3.0146820545196533	1.0869787335395813	2.68158451461749	0.03015901656407933	2.68158451461749	1.0
ADCK1	0.5833750466505686	1.8711550533771515	1.287780006726583	2.6753219456651394	0.035101935274753866	2.6753219456651394	1.0
PCSK9	0.14443341953059038	0.649454154074192	0.5050207345436016	2.671658852073496	0.05067114719209546	2.671658852073496	1.0
FBN2	0.0	0.20223550871014595	0.20223550871014595	2.669617715040604	0.07571505191713833	2.669617715040604	1.0
MPRIP	2.642548422018687	3.6522860527038574	1.0097376306851706	2.668449719168351	0.03438771879169711	2.668449719168351	1.0
SEPTIN9	2.541778008143107	3.220766842365265	0.6789888342221579	2.66795127870496	0.036608651399844226	2.66795127870496	1.0
TUBA3FP	1.9440987855196	3.269797444343567	1.325698658823967	2.667000707994838	0.030467502978772976	2.667000707994838	1.0
ZSCAN10	0.8501905227700869	2.8176958560943604	1.9675053333242736	2.6665650061369854	0.02995027729412168	2.6665650061369854	1.0
PTPRN	0.0	0.7172167897224426	0.7172167897224426	2.6663355320881443	0.07592715997278027	2.6663355320881443	1.0
TP53AIP1	1.648586928844452	2.4668325185775757	0.8182455897331238	2.6598032332585886	0.05849400771127854	2.6598032332585886	1.0
SRGAP3	0.1180316557486852	0.41227997466921806	0.2942483189205329	2.646016360389435	0.0442664168633125	2.646016360389435	1.0
COG6	0.513094961643219	1.4362581372261047	0.9231631755828857	2.642281906994946	0.033387406611073485	2.642281906994946	1.0
PCNX2	2.8956523338953652	3.915605664253235	1.0199533303578696	2.6408696599918384	0.04007061300734196	2.6408696599918384	1.0
NAGLU	0.5405443944036961	1.2922707349061966	0.7517263405025005	2.636980836820357	0.030974684325533214	2.636980836820357	1.0
GTPBP2	0.7744242350260416	1.9262617528438568	1.1518375178178153	2.6351549558609775	0.032003039298734146	2.6351549558609775	1.0
TEC	0.03872459630171458	0.3872874528169632	0.3485628565152486	2.634923344029756	0.0650777041968721	2.634923344029756	1.0
WARS2	0.8295961817105612	2.0222083032131195	1.1926121215025582	2.6324360614850493	0.030362689821924745	2.6324360614850493	1.0
ARHGEF3	2.380306879679362	3.243043601512909	0.8627367218335471	2.629996569843306	0.0332140031810064	2.629996569843306	1.0
FAM185A	0.46956438819567364	2.0595117807388306	1.5899473925431569	2.626323709813137	0.03524188359649698	2.626323709813137	1.0
TMEM109	2.1590595046679177	3.0677799582481384	0.9087204535802207	2.626302104023625	0.0500973188339997	2.626302104023625	1.0
SPIRE1	0.06584544479846954	1.2327651530504227	1.1669197082519531	2.6210282329776495	0.07542070995958544	2.6210282329776495	1.0
FBXL12	1.3814423556129138	2.9587806463241577	1.5773382907112439	2.6176914970475904	0.036864624472448135	2.6176914970475904	1.0
LSM4	4.710541884104411	5.509693384170532	0.7991515000661211	2.6169663782965165	0.03451422818770517	2.6169663782965165	1.0
PPDPF	2.530010223388672	4.705875754356384	2.1758655309677124	2.614814379293562	0.04128384108611762	2.614814379293562	1.0
ZNF790	2.7560980916023254	4.046437442302704	1.2903393507003784	2.6083896555543964	0.03346482662780089	2.6083896555543964	1.0
HSD17B7	1.8023843218882878	3.529774844646454	1.727390522758166	2.6000895096835093	0.03180631716557598	2.6000895096835093	1.0
OLR1	0.985611672202746	2.891208052635193	1.905596380432447	2.5986358619205574	0.04234720723746233	2.5986358619205574	1.0
SLC35F2	0.532731850941976	1.2066009789705276	0.6738691280285517	2.596001908320121	0.032099352103977165	2.596001908320121	1.0
VCF1	4.783107280731201	5.138395190238953	0.35528790950775146	2.5957425160203287	0.04029942775633276	2.5957425160203287	1.0
SRP68	3.430409789085388	4.394930720329285	0.9645209312438965	2.59372359882202	0.03479423420978716	2.59372359882202	1.0
MRPS22	3.940396229426066	5.122880220413208	1.182483990987142	2.5913185568638086	0.03208812913164701	2.5913185568638086	1.0
BCAS3	4.188029964764913	6.29068660736084	2.102656642595927	2.587557187165713	0.04033369071757551	2.587557187165713	1.0
TASP1	1.7672821482022603	2.897134840488434	1.1298526922861736	2.5822044478410167	0.03462491396946385	2.5822044478410167	1.0
SCAMP2	2.3220572471618652	3.6162537336349487	1.2941964864730835	2.5812820310060234	0.03416516722514446	2.5812820310060234	1.0
MS4A7	5.018165349960327	6.018544912338257	1.0003795623779297	2.5798210023022445	0.033379934753802507	2.5798210023022445	1.0
SLC41A3	0.8071769351760546	1.7213830053806305	0.9142060702045759	2.5770698667994885	0.03284345971272089	2.5770698667994885	1.0
DCT	0.0	0.3404374048113823	0.3404374048113823	2.5757902416971667	0.08207917098718129	2.5757902416971667	1.0
SPSB1	0.1351237272222837	0.6729147657752037	0.53779103855292	2.569481289569134	0.05219961282795356	2.569481289569134	1.0
ZC3H13	5.5250435670216875	6.3208218812942505	0.795778314272563	2.568231300889926	0.033766829258373626	2.568231300889926	1.0
AKAP7	3.8154261112213135	4.422115325927734	0.6066892147064209	2.568173510243044	0.03530872870872736	2.568173510243044	1.0
CRAT	0.9421397844950358	2.078182131052017	1.1360423465569816	2.5681083654238153	0.0343049339093629	2.5681083654238153	1.0
