AMYPred_Q17_Q83_Class	Amyloidogenic	Intermediate	Missing	Non-Amyloidogenic
	55	414	236	2994
Amyloidogenic	6651	26093	269	5759
Intermediate	26282	93718	6033	17928
Non-Amyloidogenic	4999	17205	17588	1430
