sample	filter	classifier	n_rows_after_filter	n_present	n_missing	Amyloidogenic	Intermediate	Non-Amyloidogenic
SRR32060336	GENCODE protein_coding	AMYPred_Q17_Q83_Class	26698	26306	392	5716	19552	1038
SRR32060336	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	26698	26698	0	5057	18103	3538
SRR32060336	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	26698	26306	392	1022	25204	80
SRR32060336	GENCODE protein_coding	AMYPred_Stringent_Class	26698	26306	392	3982	19427	2897
SRR32060336	GENCODE protein_coding	AmyloGramPy_Stringent_Class	26698	26698	0	2742	23847	109
SRR32060336	GENCODE protein_coding	BothPredictors_Stringent_Class	26698	26306	392	330	25976	0
SRR32060341	GENCODE protein_coding	AMYPred_Q17_Q83_Class	17025	16615	410	3521	12475	619
SRR32060341	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	17025	17025	0	3170	11309	2546
SRR32060341	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	17025	16615	410	616	15960	39
SRR32060341	GENCODE protein_coding	AMYPred_Stringent_Class	17025	16615	410	2440	12389	1786
SRR32060341	GENCODE protein_coding	AmyloGramPy_Stringent_Class	17025	17025	0	1708	15177	140
SRR32060341	GENCODE protein_coding	BothPredictors_Stringent_Class	17025	16615	410	186	16429	0
