predictor	group	n	mean	sd	p01	p05	p10	p25	median	p75	p90	p95	p99	min	max	share_prob_ge_0_5	share_prob_ge_0_8	share_prob_ge_0_9
AMYPred-FRL	Amyloid	147718	0.802499996329042	0.12110236735854653	0.514578651704174	0.5527141911909271	0.5999400965688042	0.7300832618760296	0.8396722157373103	0.8924216146183441	0.9315886692136366	0.9506240213805284	0.97291339187651	0.5050051979566711	0.9948709485456086	1.0	0.6284068292286654	0.21604679186016598
AMYPred-FRL	Non-Amyloid	117786	0.19818999196421053	0.15484235447403355	0.003347987306216	0.0042495651025825	0.0066694377471025	0.0460361501752527	0.1808023564373696	0.32910753534576764	0.4301225992275703	0.4672491494647671	0.5	0.0025614167283465	0.5	0.014831983427572037	0.0	0.0
AmyloGramPy	Amyloid	230480	0.8060007191348489	0.09306179897890572	0.5231386	0.6233488	0.6725952	0.7515012	0.8330158	0.8811266	0.8987604	0.915677	0.9221546	0.5000716	0.9557038	1.0	0.6103349531412704	0.09765272474835127
AmyloGramPy	Non-Amyloid	11710	0.352706300409906	0.11949400390923608	0.026428616000000002	0.1051686	0.17181362000000003	0.2856904	0.3832912	0.447614	0.4840932	0.4916226	0.498359	0.0029152	0.4999924	0.0	0.0	0.0
