AMYPred_Stringent_Class	Amyloidogenic	Intermediate	Missing	Non-Amyloidogenic
	25	2480	236	958
Amyloidogenic	2127	24569	201	9
Intermediate	14633	120966	4528	156
Non-Amyloidogenic	3898	33707	19161	0
