predictor	n_samples	n_subjects	n_AC_samples	n_TOL_samples	n_protein_rows_after_filter	n_amyloid_rows	n_non_amyloid_rows	source_zarr
AMYPred_Pred	11	11	6	5	143323	140516	2807	project.zarr
AmyloGramPy_Pred	11	11	6	5	140251	137798	2453	project.zarr
