	n_present	n_missing	mean	sd	min	p01	p05	p10	p25	median	p75	p90	p95	p99	max
AMYPred-FRL	265504.0	4998.0	0.5344089010004743	0.330051086826994	0.0025614167283465	0.0036718457701648	0.007788450334622802	0.0326091894938253	0.2128941350480167	0.6013649976499602	0.8508525387506778	0.9089998631489942	0.934665669755103	0.9670664130686658	0.9948709485456086
AmyloGramPy	242190.0	28312.0	0.7840837215574549	0.13559729296651554	0.0029152	0.2564984	0.5067666	0.6278256	0.7356036	0.8215522	0.8771298	0.8987604	0.9147744	0.9221546	0.9557038
